OBJECTID,ctyua17cd,ctyua17nm,Shape_Leng,Shape_Area,AdultCount,AdultWeekl,AWSD,AWSDCat,AdultMonth,AMSD,AMSDCat,AdultINever,ANSD,ANSDCat,AdultInfreq,AISD,AISDCat,ChildCount,ChildWeekl,ChildMonth,ChildNever
132,E09000002,Barking and Dagenham,39734.24534,36108163.42,372,0.388446805,-1.96387251,< 1,0.597499474,-2.28409421,< 2,0.103624223,0.256586978,>0,0.298876303,3.454512066,>2,151,0.634484869,0.877898298,0.122101702
133,E09000003,Barnet,49775.15406,86799645.49,588,0.557940686,-0.110470048,<0,0.769290937,0.074202189,>0,0.090775418,-0.038597875,<0,0.139933645,-0.082908166,<0,144,0.638905019,0.696682218,0.303317782
88,E08000016,Barnsley,123630.6756,329132793.9,547,0.507237594,-0.664904433,<0,0.700653209,-0.868033845,<0,0.118134041,0.589931479,>0,0.181212749,0.835797608,>0,107,0.637139312,0.739852898,0.260147102
25,E06000022,Bath and North East Somerset,137361.8372,351163380.8,268,0.65997498,1.005267054,>1,0.822706055,0.807467267,>0,0.052904521,-0.908633272,<0,0.124389424,-0.428859609,<0,59,0.838430541,0.887069755,0.112930245
59,E06000055,Bedford,129918.5108,476375539.4,302,0.607489891,0.431346671,>0,0.760560501,-0.04564635,<0,0.111678984,0.441634805,>0,0.127760514,-0.35383279,<0,58,0.824265894,0.912837132,0.087162868
129,E09000004,Bexley,43910.20493,60587802.82,767,0.532418162,-0.389556872,<0,0.721427659,-0.582849065,<0,0.119508682,0.621512097,>0,0.159063659,0.342848515,>0,274,0.683465791,0.77408872,0.22591128
107,E08000025,Birmingham,104149.1731,267761494.9,2085,0.432421215,-1.483015743,< 1,0.681469118,-1.131386703,< 1,0.117743547,0.580960379,>0,0.200787335,1.271448662,>1,683,0.585946913,0.718824233,0.281175767
12,E06000008,Blackburn with Darwen,63751.44176,137057232.8,409,0.622083904,0.590931073,>0,0.787781878,0.328039713,>0,0.053624107,-0.892101704,<0,0.158594015,0.332396141,>0,100,0.689395764,0.806275921,0.193724079
13,E06000009,Blackpool,34572.99889,34877461.42,143,0.559969303,-0.088287279,<0,0.755764205,-0.111488315,<0,0.03602383,-1.296445546,< 1,0.208211964,1.436690852,>1,34,0.312835274,0.312835274,0.687164726
60,E08000001,Bolton,78828.2449,139795200.6,821,0.518994004,-0.536349,<0,0.715548308,-0.663558851,<0,0.100098659,0.175591657,>0,0.184353033,0.905687619,>0,213,0.612472371,0.701565608,0.298434392
30,E06000028,Bournemouth,47233.91778,46204494.14,165,0.688577114,1.318029174,>1,0.860866822,1.331325658,>1,0.075584777,-0.387583413,<0,0.063548401,-1.782934521,< 1,22,0.84789501,0.925695573,0.074304427
40,E06000036,Bracknell Forest,61813.78516,109346433,6,,,,,,,,,,,,,,,,
124,E08000032,Bradford,131638.5845,366393462.3,283,0.48674215,-0.889020525,<0,0.712972153,-0.698923455,<0,0.131854678,0.905145556,>0,0.15517317,0.256261977,>0,153,0.728797745,0.79634138,0.20365862
90,E09000005,Brent,37663.36713,43223381.06,863,0.440542221,-1.394213171,< 1,0.699342553,-0.886026097,<0,0.093096539,0.01472691,>0,0.207560908,1.422200981,>1,146,0.502063349,0.730216574,0.269783426
47,E06000043,Brighton and Hove,57913.58289,82815432.47,450,0.765786098,2.162303435,>2,0.893578207,1.780376735,>1,0.037454697,-1.263573208,< 1,0.068967096,-1.662336303,< 1,128,0.824802391,0.887465681,0.112534319
27,E06000023,"Bristol, City of",106749.6709,109720694,508,0.604360914,0.39713155,>0,0.808101653,0.606982865,>0,0.075918291,-0.379921356,<0,0.115980057,-0.61601808,<0,159,0.623429884,0.741544741,0.258455259
120,E09000006,Bromley,74640.83041,150125317.4,759,0.557913205,-0.110770551,<0,0.717340502,-0.638956205,<0,0.11776655,0.581488844,>0,0.164892947,0.472584871,>0,224,0.725965367,0.761830086,0.238169914
65,E10000002,Buckinghamshire,354461.3392,1564968343,1307,0.651880375,0.916753176,>0,0.853032815,1.223783,>1,0.03325354,-1.360089414,< 1,0.113713645,-0.666459238,<0,290,0.792992088,0.848254061,0.151745939
66,E08000002,Bury,66902.22149,99463149.8,552,0.589445454,0.23403215,>0,0.811503659,0.653684478,>0,0.065536763,-0.618423677,<0,0.122959577,-0.460682215,<0,114,0.650659649,0.734446297,0.265553703
125,E08000033,Calderdale,105460.9757,363994684.6,350,0.596045445,0.30620254,>0,0.768000194,0.056483296,>0,0.106631858,0.325683543,>0,0.125367948,-0.407081625,<0,151,0.721051968,0.817241702,0.182758298
69,E10000003,Cambridgeshire,501301.3523,3052755140,882,0.675859895,1.17896737,>1,0.850148451,1.184187405,>1,0.049785173,-0.9802963,<0,0.100066376,-0.970192207,<0,161,0.85728485,0.906511284,0.093488716
16,E09000007,Camden,25858.76548,21807916.5,285,0.594593079,0.29032103,>0,0.719911961,-0.603656066,<0,0.12221973,0.683794956,>0,0.157868309,0.316244862,>0,82,0.468859854,0.540740558,0.459259442
62,E06000056,Central Bedfordshire,229138.5233,715580550.9,633,0.631525473,0.694173899,>0,0.819427685,0.762462887,>0,0.060461774,-0.735015055,<0,0.120110541,-0.524090225,<0,102,0.794251798,0.847787101,0.152212899
52,E06000049,Cheshire East,289461.8642,1166350896,443,0.578274595,0.111879672,>0,0.768411189,0.062125299,>0,0.047765994,-1.026684354,< 1,0.183822817,0.893887157,>0,97,0.682028066,0.823008561,0.176991439
53,E06000050,Cheshire West and Chester,297233.8213,916656233.8,346,0.632869426,0.708869921,>0,0.798433318,0.474259159,>0,0.082212463,-0.235320808,<0,0.119354219,-0.540922892,<0,140,0.813244212,0.846881241,0.153118759
131,E09000001,City of London,8929.190238,2897650.241,,,,,,,,,,,,,,,,,
55,E06000052,Cornwall,1100311.747,3549517293,1391,0.692827576,1.364507647,>1,0.849695033,1.177963032,>1,0.052231153,-0.92410304,<0,0.098073814,-1.014538572,< 1,261,0.650407292,0.67988839,0.32011161
51,E06000047,County Durham,309633.9132,2231575406,1589,0.670155629,1.116591663,>1,0.807116606,0.593460465,>0,0.095192215,0.062872384,>0,0.09769118,-1.023054456,< 1,367,0.659060235,0.69807022,0.30192978
103,E08000026,Coventry,53000.30211,98624085.36,997,0.409475399,-1.733926464,< 1,0.66737546,-1.32485978,< 1,0.114385624,0.503816395,>0,0.218238916,1.659850218,>1,253,0.63950062,0.765086828,0.234913172
134,E09000008,Croydon,57494.41838,86535674.75,383,0.461629391,-1.1636266,< 1,0.661364396,-1.407377679,< 1,0.174036017,1.874207843,>1,0.164599588,0.466055887,>0,161,0.582605945,0.631893781,0.368106219
73,E10000006,Cumbria,955512.8885,6822192760,1129,0.669162665,1.105733678,>1,0.817067644,0.730065025,>0,0.088456946,-0.091861802,<0,0.09447541,-1.094624481,< 1,304,0.850129303,0.898058925,0.101941075
8,E06000005,Darlington,105799.5829,197482015.7,460,0.692362522,1.359422318,>1,0.849671914,1.177645662,>1,0.071135006,-0.489811208,<0,0.07919308,-1.43474729,< 1,99,0.711750656,0.767311037,0.232688963
18,E06000015,Derby,49198.67157,78022267.07,564,0.503343349,-0.7074877,<0,0.714559789,-0.677128913,<0,0.145228885,1.212400848,>1,0.140211326,-0.076728111,<0,185,0.579986569,0.711686515,0.288313485
